name;target;group_name;group_folder_path
Запросы;"Целевая ссылка";"Имя группы";Папка
"мебель на заказ";https://fogwood.ru/;Мебель;/Мебель/
"мебель на заказ спб";https://fogwood.ru/;Мебель;/Мебель/
"изготовление мебели на заказ";https://fogwood.ru/;Мебель;/Мебель/
"мебель под заказ спб";https://fogwood.ru/;Мебель;/Мебель/
"мебель под заказ";https://fogwood.ru/;Мебель;/Мебель/
"изготовление мебели на заказ в спб";https://fogwood.ru/;Мебель;/Мебель/
"производство мебели в спб";https://fogwood.ru/;Мебель;/Мебель/
"изготовление мебели";https://fogwood.ru/;Мебель;/Мебель/
"мебель на заказ в спб от производителя";https://fogwood.ru/;Мебель;/Мебель/
"деревянная мебель на заказ";https://fogwood.ru/;Мебель;/Мебель/
"мебель на заказ по индивидуальным размерам";https://fogwood.ru/;Мебель;/Мебель/
"изготовление мебели из массива";https://fogwood.ru/;Мебель;/Мебель/
"производство мебели на заказ";https://fogwood.ru/;Мебель;/Мебель/
"мебель из массива на заказ";https://fogwood.ru/;Мебель;/Мебель/
"мебель по индивидуальным размерам в спб";https://fogwood.ru/;Мебель;/Мебель/
"изготовление мебели спб";https://fogwood.ru/;Мебель;/Мебель/
"заказ мебели по индивидуальным размерам спб";https://fogwood.ru/;Мебель;/Мебель/
"мебель из дерева на заказ спб";https://fogwood.ru/;Мебель;/Мебель/
"мебель из дерева на заказ";https://fogwood.ru/;Мебель;/Мебель/
"заказать мебель по индивидуальным размерам в спб";https://fogwood.ru/;Мебель;/Мебель/
"кухни премиум класса под заказ";;Премиум;/Мебель/Кухни/
"элитные кухни на заказ";;Премиум;/Мебель/Кухни/
"элитные кухни на заказ в спб";;Премиум;/Мебель/Кухни/
"кухни на заказ премиум класса";;Премиум;/Мебель/Кухни/
"угловые кухни на заказ";;Угловые;/Мебель/Кухни/
"цены на угловые кухни под заказ";;Угловые;/Мебель/Кухни/
"угловые кухни на заказ в спб";;Угловые;/Мебель/Кухни/
"угловые кухни на заказ недорого";;Угловые;/Мебель/Кухни/
"угловые кухни на заказ от производителя";;Угловые;/Мебель/Кухни/
"угловые кухни лофт на заказ в спб";;Угловые;/Мебель/Кухни/
"кухни угловые на заказ каталог";;Угловые;/Мебель/Кухни/
"угловые кухни больших размеров";;Угловые;/Мебель/Кухни/
"встроенные угловые кухни на заказ";;Угловые;/Мебель/Кухни/
"недорогие кухни спб на заказ угловые";;Угловые;/Мебель/Кухни/
"встроенные кухни на заказ";;Встроенные;/Мебель/Кухни/
"встраиваемая кухня на заказ";;Встроенные;/Мебель/Кухни/
"сколько стоит встроенная кухня на заказ";;Встроенные;/Мебель/Кухни/
"встроенные кухни на заказ спб";;Встроенные;/Мебель/Кухни/
"встраиваемые кухни на заказ спб";;Встроенные;/Мебель/Кухни/
"встроенная кухня заказ недорого";;Встроенные;/Мебель/Кухни/
"белая кухня на заказ";;Белые;/Мебель/Кухни/
"классические кухни на заказ в спб";;Классические;/Мебель/Кухни/
"классические кухни на заказ";;Классические;/Мебель/Кухни/
"классик кухни на заказ спб";;Классические;/Мебель/Кухни/
"кухни на заказ классика спб";;Классические;/Мебель/Кухни/
"классик кухни на заказ";;Классические;/Мебель/Кухни/
"современные кухни на заказ";;Современные;/Мебель/Кухни/
"современная кухня маленького размера";;Современные;/Мебель/Кухни/
"кухни лофт на заказ";;Лофт;/Мебель/Кухни/
"кухни лофт на заказ в спб";;Лофт;/Мебель/Кухни/
"модульные кухни из массива производство";;Модульные;/Мебель/Кухни/
"модульные кухни на заказ";;Модульные;/Мебель/Кухни/
"модульная кухня на заказ спб";;Модульные;/Мебель/Кухни/
"кухня модулями на заказ";;Модульные;/Мебель/Кухни/
